i, c0,  c1,  c2,  c3
0, 1.038197, 1.049749, 1.048726, 1.068646
1, 1.038956, 1.049617, 1.051744, 1.066509
2, 1.038970, 1.049727, 1.052775, 1.071529
3, 1.040712, 1.047750, 1.051631, 1.067851
4, 1.037970, 1.050676, 1.046401, 1.066069
5, 1.038401, 1.049835, 1.048292, 1.055702
6, 1.038432, 1.050332, 1.055970, 1.060682
7, 1.038514, 1.050559, 1.052191, 1.068245
8, 1.038864, 1.068860, 1.070190, 1.052161
9, 1.038766, 1.068813, 1.086147, 1.050806
10, 1.038704, 1.068431, 1.079860, 1.045252
11, 1.038871, 1.067646, 1.070093, 1.051566
12, 1.038788, 1.067803, 1.090060, 1.043516
13, 1.038532, 1.069836, 1.009775, 1.066597
14, 1.038471, 1.048804, 1.048889, 1.065677
15, 1.040463, 1.051199, 1.050103, 1.068092
16, 1.039131, 1.050627, 1.052217, 1.070849
17, 1.038618, 1.050511, 1.047749, 1.064745
18, 1.038451, 1.049162, 1.050064, 1.068324
19, 1.038801, 1.048943, 1.051154, 1.068997
20, 1.039046, 1.049007, 1.048362, 1.066053
21, 1.038914, 1.050558, 1.054022, 1.068905
22, 1.038786, 1.050683, 1.049186, 1.066266
23, 1.038859, 1.049511, 1.049833, 1.050504
24, 1.039228, 1.067062, 1.066014, 1.050066
25, 1.039853, 1.077420, 1.070066, 1.050665
26, 1.039371, 1.070329, 1.074995, 1.051523
27, 1.039221, 1.028064, 1.069911, 1.049172
28, 1.039089, 1.072341, 1.068485, 1.052618
29, 1.039083, 1.067605, 1.081113, 1.048430
30, 1.039016, 1.069856, 1.081199, 1.048471
31, 1.039908, 1.069554, 1.070031, 1.048871
32, 1.039161, 1.069346, 1.069459, 1.053420
33, 1.038926, 1.069234, 1.049616, 1.066962
34, 1.040437, 1.069375, 1.047813, 1.070797
35, 1.039314, 1.069654, 1.069938, 1.049007
36, 1.039495, 1.073813, 1.067861, 1.050522
37, 1.039048, 1.067598, 1.070094, 1.049299
38, 1.038939, 1.069632, 1.065455, 1.051368
39, 1.038872, 1.049901, 1.049791, 1.065958
40, 1.039211, 1.049679, 1.049704, 1.050030
41, 1.038896, 1.048229, 1.050623, 1.051579
42, 1.038998, 1.052367, 1.048994, 1.048866
43, 1.040147, 1.049919, 1.088120, 1.084326
44, 1.038871, 1.069069, 1.069303, 1.069853
45, 1.038764, 1.068282, 1.067761, 1.063431
46, 1.039484, 1.069708, 1.069736, 1.069760
47, 1.039331, 1.069721, 1.050545, 1.051071
48, 1.039333, 1.050213, 1.056151, 1.056808
49, 1.039131, 1.057008, 1.085321, 1.083750
