i, latency, apporach, elevate
0, 1.143723, independent, unelevated
0, 1.130776, server, unelevated
0, 1.123343, server, elevated
0, 1.141439, client-1, unelevated
0, 1.144750, client-2, unelevated
0, 1.101329, client-1, elevated
0, 1.084605, client-2, elevated
1, 1.157353, independent, unelevated
1, 1.128284, server, unelevated
1, 1.124664, server, elevated
1, 1.153432, client-1, unelevated
1, 1.134020, client-2, unelevated
1, 1.141347, client-1, elevated
1, 1.128227, client-2, elevated
2, 1.168708, independent, unelevated
2, 1.200345, server, unelevated
2, 1.153192, server, elevated
2, 1.150381, client-1, unelevated
2, 1.128267, client-2, unelevated
2, 1.101689, client-1, elevated
2, 1.133234, client-2, elevated
3, 1.167891, independent, unelevated
3, 1.198757, server, unelevated
3, 1.152210, server, elevated
3, 1.182107, client-1, unelevated
3, 1.178445, client-2, unelevated
3, 1.138301, client-1, elevated
3, 1.174766, client-2, elevated
4, 1.120619, independent, unelevated
4, 1.202324, server, unelevated
4, 1.179265, server, elevated
4, 1.151649, client-1, unelevated
4, 1.152103, client-2, unelevated
4, 1.112131, client-1, elevated
4, 1.142415, client-2, elevated
5, 1.124864, independent, unelevated
5, 1.177128, server, unelevated
5, 1.185179, server, elevated
5, 1.151590, client-1, unelevated
5, 1.148964, client-2, unelevated
5, 1.180362, client-1, elevated
5, 1.175750, client-2, elevated
6, 1.171681, independent, unelevated
6, 1.199631, server, unelevated
6, 1.180015, server, elevated
6, 1.148617, client-1, unelevated
6, 1.148899, client-2, unelevated
6, 1.135966, client-1, elevated
6, 1.144997, client-2, elevated
7, 1.170484, independent, unelevated
7, 1.130697, server, unelevated
7, 1.154778, server, elevated
7, 1.196135, client-1, unelevated
7, 1.199195, client-2, unelevated
7, 1.173820, client-1, elevated
7, 1.182175, client-2, elevated
8, 1.170831, independent, unelevated
8, 1.197572, server, unelevated
8, 1.160760, server, elevated
8, 1.198871, client-1, unelevated
8, 1.199396, client-2, unelevated
8, 1.191099, client-1, elevated
8, 1.191914, client-2, elevated
9, 1.169531, independent, unelevated
9, 1.198091, server, unelevated
9, 1.181845, server, elevated
9, 1.182647, client-1, unelevated
9, 1.177161, client-2, unelevated
9, 1.120978, client-1, elevated
9, 1.169247, client-2, elevated
