i, c0,  c1,  c2,  c3
0, 0.142483, 0.102895, 0.102881, 0.102798
1, 0.142708, 0.103570, 0.102739, 0.102817
2, 0.142995, 0.104980, 0.104322, 0.104358
3, 0.142763, 0.103007, 0.102975, 0.103002
4, 0.142410, 0.104469, 0.102935, 0.103010
5, 0.142997, 0.103176, 0.101299, 0.101174
6, 0.142655, 0.103781, 0.102717, 0.102686
7, 0.142902, 0.103395, 0.104104, 0.103862
8, 0.142824, 0.102788, 0.104332, 0.104351
9, 0.142743, 0.104290, 0.101278, 0.101272
10, 0.142653, 0.104196, 0.101567, 0.101526
11, 0.143331, 0.102821, 0.103286, 0.103444
12, 0.142764, 0.102803, 0.102893, 0.102825
13, 0.142605, 0.103747, 0.102788, 0.102953
14, 0.142706, 0.104114, 0.103336, 0.103360
15, 0.142827, 0.104280, 0.103485, 0.103410
16, 0.142819, 0.104129, 0.101100, 0.101177
17, 0.142835, 0.103011, 0.103847, 0.103540
18, 0.142745, 0.102991, 0.103074, 0.102812
19, 0.142833, 0.103829, 0.104321, 0.104200
20, 0.143344, 0.102729, 0.103673, 0.103024
21, 0.142856, 0.103455, 0.102936, 0.102844
22, 0.142676, 0.103212, 0.103474, 0.103559
23, 0.142707, 0.103512, 0.102954, 0.102710
24, 0.142576, 0.102716, 0.103556, 0.103679
25, 0.142925, 0.102733, 0.103036, 0.103400
26, 0.142638, 0.103529, 0.103275, 0.103136
27, 0.142876, 0.104296, 0.103743, 0.103881
28, 0.144030, 0.102785, 0.103952, 0.104449
29, 0.143519, 0.102556, 0.102992, 0.102666
30, 0.144299, 0.104334, 0.102050, 0.101517
31, 0.142975, 0.103811, 0.102907, 0.104236
32, 0.143648, 0.103229, 0.101362, 0.101340
33, 0.142822, 0.102645, 0.102889, 0.104324
34, 0.144337, 0.102883, 0.104537, 0.104110
35, 0.143588, 0.103243, 0.104037, 0.104522
36, 0.143211, 0.104059, 0.101442, 0.101346
37, 0.142697, 0.103523, 0.101628, 0.101581
38, 0.143435, 0.104256, 0.103218, 0.103427
39, 0.143014, 0.103186, 0.104676, 0.103405
40, 0.143547, 0.102893, 0.104554, 0.103440
41, 0.144154, 0.103335, 0.103203, 0.102839
42, 0.143610, 0.103499, 0.102955, 0.103147
43, 0.142945, 0.103640, 0.101884, 0.101496
44, 0.143417, 0.103486, 0.102876, 0.104223
45, 0.144254, 0.103439, 0.104009, 0.103627
46, 0.143357, 0.103538, 0.101546, 0.101382
47, 0.143398, 0.103580, 0.102851, 0.103305
48, 0.144497, 0.103727, 0.102994, 0.103003
49, 0.144343, 0.103517, 0.102790, 0.102958
