Iteration,Independent Client (normal),Independent Client (elevated),Client + Server (normal),Client + Server (elevated)
1,0.088323,0.075566,0.066097,0.094745
2,0.087441,0.063612,0.072545,0.089359
3,0.087217,0.058394,0.066343,0.095211
4,0.087171,0.054441,0.072277,0.086590
5,0.087609,0.052825,0.065652,0.096775
6,0.086961,0.051190,0.064882,0.070480
7,0.087140,0.049117,0.068809,0.063778
8,0.087232,0.047756,0.066473,0.063286
9,0.087776,0.047253,0.072312,0.062664
10,0.087094,0.046519,0.069601,0.059543
11,0.087181,0.046011,0.068739,0.063601
12,0.087569,0.046301,0.073354,0.067518
13,0.086820,0.045777,0.073099,0.066896
14,0.087257,0.045872,0.072477,0.065483
15,0.087366,0.045863,0.071321,0.066887
16,0.086969,0.045531,0.067509,0.063756
17,0.087162,0.045368,0.069198,0.065111
18,0.087170,0.045426,0.072080,0.065335
19,0.087546,0.045418,0.070381,0.059643
20,0.087451,0.045089,0.069077,0.067150
21,0.087496,0.045344,0.069162,0.063768
22,0.087148,0.045168,0.065255,0.063731
23,0.087209,0.045665,0.065325,0.063620
24,0.087078,0.045304,0.071224,0.066414
25,0.087523,0.045675,0.065275,0.059659
26,0.087328,0.045257,0.071253,0.063224
27,0.087471,0.045316,0.071324,0.065595
28,0.087244,0.045515,0.071532,0.063752
29,0.087027,0.044933,0.069896,0.063555
30,0.087254,0.045277,0.068578,0.062760
31,0.087409,0.045303,0.065938,0.060819
32,0.087428,0.045148,0.066605,0.060253
33,0.087282,0.045107,0.072828,0.063623
34,0.086850,0.076252,0.072211,0.067502
35,0.087135,0.064498,0.071985,0.063236
36,0.087687,0.047420,0.069791,0.066933
37,0.087609,0.045110,0.070115,0.062597
38,0.086717,0.043801,0.072996,0.059180
39,0.087180,0.043390,0.066129,0.067601
40,0.086992,0.043084,0.066145,0.064112
41,0.087005,0.043151,0.066426,0.063710
42,0.089016,0.042891,0.065616,0.063128
43,0.086961,0.043108,0.071777,0.060396
44,0.087054,0.042833,0.069583,0.063820
45,0.087111,0.043916,0.069940,0.063730
46,0.087068,0.043556,0.066818,0.067063
47,0.086884,0.043896,0.069747,0.066889
48,0.087501,0.044026,0.065467,0.066960
49,0.087075,0.044368,0.073271,0.060864
50,0.087659,0.044272,0.065578,0.060410
51,0.087281,0.044688,0.069630,0.068368
52,0.087091,0.044933,0.069093,0.059593
53,0.086971,0.044945,0.073059,0.066416
54,0.087574,0.044977,0.072955,0.059573
55,0.087349,0.045087,0.066790,0.066307
56,0.086914,0.045300,0.069756,0.060822
57,0.087225,0.045376,0.073084,0.063670
58,0.087086,0.045019,0.072348,0.063916
59,0.087250,0.045048,0.065155,0.059210
60,0.087207,0.045115,0.065386,0.060878
61,0.087234,0.044941,0.068716,0.067090
62,0.087218,0.045300,0.068574,0.062769
63,0.087486,0.045325,0.069450,0.063786
64,0.087145,0.045084,0.068802,0.066922
65,0.086694,0.045265,0.072333,0.059584
66,0.087725,0.045334,0.066774,0.062865
67,0.087014,0.045346,0.073571,0.066460
68,0.087657,0.044706,0.066314,0.065701
69,0.087196,0.044914,0.071522,0.059741
70,0.086858,0.044868,0.072828,0.060438
71,0.086987,0.045081,0.066304,0.067078
72,0.086983,0.045357,0.071178,0.059603
73,0.087352,0.045195,0.068368,0.067165
74,0.087038,0.045149,0.065097,0.060774
75,0.087097,0.045190,0.065106,0.067025
76,0.087321,0.045410,0.066354,0.060336
77,0.087513,0.045346,0.069092,0.066953
78,0.087437,0.045125,0.072202,0.060421
79,0.087144,0.045110,0.069858,0.065462
80,0.086894,0.045578,0.072056,0.059146
81,0.087464,0.045104,0.071691,0.067139
82,0.087540,0.045419,0.069656,0.067055
83,0.087105,0.045658,0.065117,0.065464
84,0.087599,0.045145,0.065499,0.059792
85,0.087387,0.045075,0.069776,0.066289
86,0.087834,0.045023,0.070247,0.066948
87,0.087043,0.044723,0.066531,0.063348
88,0.087559,0.044772,0.072147,0.060731
89,0.087226,0.044967,0.073365,0.063336
90,0.087238,0.044733,0.065507,0.066930
91,0.087397,0.044622,0.066085,0.062667
92,0.087038,0.044933,0.066117,0.065523
93,0.087217,0.045207,0.068706,0.066961
94,0.087270,0.075991,0.073364,0.068452
95,0.087267,0.063594,0.067989,0.067134
96,0.087072,0.057547,0.066655,0.059486
97,0.087397,0.054134,0.066392,0.061125
98,0.087137,0.052081,0.065171,0.062889
99,0.087264,0.050131,0.073182,0.060541
100,0.087045,0.049187,0.065124,0.067192
