Iteration,Independent Client (work),Client (work) + Server (no work),Client (no work) + Server (work),Client (no work) + Elevated Server (work),Client (no work) + Server (no work)
1,137.5745,175.573,266.63700000000006,192.1155,113.52850000000001
2,140.955,176.07150000000001,255.19650000000001,191.621,111.677
3,138.806,147.79749999999999,224.6445,167.29749999999999,94.2235
4,138.8985,149.2775,235.652,165.064,94.3095
5,145.302,147.225,220.808,166.5805,113.853
6,138.487,150.8035,230.33049999999997,166.10449999999997,111.293
7,140.058,147.627,230.17099999999996,169.746,112.44949999999999
8,138.7375,138.74800000000002,214.67049999999998,166.35600000000002,116.2735
9,141.1385,152.1955,233.51700000000002,150.99499999999998,112.4965
10,138.589,145.30599999999998,230.6775,161.07350000000002,113.4885
11,141.285,152.2415,230.98350000000002,148.8405,112.7765
12,150.6335,147.374,228.97700000000003,171.94650000000001,107.126
13,139.78,147.2655,227.4075,165.2665,112.2905
14,142.294,150.7355,212.8695,167.62949999999998,112.7885
15,138.9255,150.04500000000002,233.329,167.56650000000002,116.1435
16,139.5145,146.951,232.077,169.873,113.2575
17,139.2235,149.3025,230.257,148.87500000000003,105.1265
18,146.82850000000002,148.3665,230.32150000000001,163.44750000000002,105.2665
19,138.96249999999998,152.15249999999997,230.92149999999998,169.9915,94.343
20,141.1465,147.4965,230.911,162.893,102.8315
21,140.07750000000001,150.3255,232.6175,151.1875,113.78349999999999
22,139.92,145.007,233.644,170.163,113.7735
23,138.79,149.311,230.722,170.305,116.093
24,138.952,139.155,229.0885,159.726,105.45649999999999
25,149.6645,147.17499999999998,222.8455,157.957,126.36449999999999
26,139.48600000000002,143.8725,231.3685,148.4205,135.73499999999999
27,138.634,149.151,229.185,151.3365,131.74099999999999
28,140.718,150.763,220.8485,164.2225,142.9145
29,141.563,147.25150000000002,235.422,167.0615,148.346
30,140.59199999999998,147.26800000000003,226.1425,166.7585,149.007
31,146.4415,147.1655,230.92149999999998,170.128,148.332
32,138.7605,138.55349999999999,227.1085,189.8405,127.6525
33,139.761,149.15900000000002,224.31599999999997,215.36350000000002,148.6895
34,141.18800000000002,150.69949999999997,233.85,212.55349999999999,150.3535
35,139.692,140.4675,230.81550000000001,220.91199999999998,124.96449999999999
36,138.893,144.998,229.11599999999999,227.1465,121.523
37,144.66049999999998,150.3905,233.93050000000002,215.19949999999997,127.64349999999999
38,141.377,145.711,237.1645,222.225,147.39600000000002
39,140.243,152.088,215.1465,211.023,138.0045
40,138.683,149.34849999999997,229.7345,226.8585,149.87300000000002
41,140.4255,150.4855,274.5165,221.2335,124.9845
42,141.0355,147.73649999999998,309.07099999999997,220.179,147.541
43,139.49,145.29749999999999,312.43850000000003,222.52949999999998,120.9315
44,150.82649999999998,140.286,309.75399999999996,219.7865,124.68999999999998
45,140.5055,138.4635,313.635,218.101,148.2045
46,139.4875,150.3005,308.32800000000003,224.4565,137.89899999999997
47,141.3115,147.083,312.02750000000003,227.30249999999998,132.77749999999997
48,141.123,147.68200000000002,302.2885,219.33849999999998,143.2425
49,139.762,144.511,296.8325,221.75650000000002,145.68249999999998
50,140.7855,147.1975,301.32550000000003,196.37499999999997,137.9905
