Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.00834256,0.00759494,0.009290620000000001,0.00868182
2,0.00831592,0.00762352,0.00940386,0.00865028
3,0.00829362,0.00758976,0.009210920000000001,0.00871396
4,0.008268919999999999,0.00759102,0.00936824,0.0087141
5,0.0082793,0.00764086,0.00920796,0.0086769
6,0.008362920000000001,0.00759578,0.00894474,0.00862686
7,0.00826788,0.00766574,0.00940452,0.0087385
8,0.00825058,0.00758976,0.009310619999999999,0.008735119999999999
9,0.00830094,0.00762932,0.00927332,0.0086866
10,0.00836148,0.0075796200000000005,0.00936072,0.00872468
11,0.00825924,0.0075893,0.00918656,0.00871994
12,0.00836168,0.00759448,0.00918904,0.00855776
13,0.00836938,0.00759646,0.009088619999999999,0.00857286
14,0.0081991,0.00761092,0.00929924,0.00871726
15,0.0082781,0.00758292,0.00924176,0.0087088
16,0.00825742,0.00762752,0.009245940000000001,0.008734579999999999
17,0.0083585,0.0075956800000000005,0.00912142,0.00882792
18,0.00827382,0.00758848,0.00929994,0.00853106
19,0.00822286,0.0075798,0.009275219999999999,0.0085579
20,0.008303739999999999,0.007601,0.009452120000000001,0.0087702
21,0.0082547,0.00762162,0.009247459999999999,0.00868174
22,0.00837018,0.0076338,0.00935512,0.00871286
23,0.00826946,0.007611059999999999,0.00930784,0.008601600000000001
24,0.0082804,0.0076272200000000005,0.00930926,0.00871768
25,0.00836222,0.0075909,0.00926954,0.00877498
26,0.00835088,0.00758816,0.009302939999999999,0.008726040000000001
27,0.008410220000000001,0.00760584,0.00936298,0.00869114
28,0.00827426,0.0075923,0.009235,0.00856614
29,0.0082995,0.00758394,0.00927096,0.008641020000000001
30,0.008354519999999999,0.007589139999999999,0.00923202,0.0085612
31,0.00826538,0.00761762,0.00918252,0.00861898
32,0.00829938,0.00758468,0.00928762,0.008649259999999999
33,0.00824802,0.00760818,0.0094434,0.00850484
34,0.00813086,0.007649120000000001,0.0091973,0.00873064
35,0.00823718,0.00760128,0.00921336,0.00866344
36,0.00821218,0.0075945200000000004,0.00936844,0.00868626
37,0.0081791,0.00758506,0.00916788,0.00868996
38,0.00824384,0.00762266,0.00931588,0.00859614
39,0.0083019,0.00758604,0.00921108,0.0087211
40,0.008261880000000001,0.00758698,0.00918342,0.0086958
41,0.00827136,0.00764998,0.00924228,0.00864156
42,0.00830938,0.00763666,0.00923668,0.00869732
43,0.008156219999999999,0.00760644,0.00937754,0.00869564
44,0.00822854,0.007675260000000001,0.009240080000000001,0.00871342
45,0.00813798,0.007646460000000001,0.00937512,0.00854442
46,0.00826608,0.0076006,0.00924398,0.008558379999999999
47,0.00823082,0.00758928,0.00925982,0.00869614
48,0.00826704,0.00759286,0.009273,0.0086992
49,0.0082863,0.00760552,0.00924156,0.00876024
50,0.00829246,0.007620780000000001,0.00932688,0.008735399999999999
