Iteration,Independent Client (normal),Independent Client (elevated),Client + Server (normal),Client + Server (elevated)
1,0.239407,0.209181,0.251242,0.229055
2,0.257161,0.207441,0.221907,0.230150
3,0.260804,0.207812,0.219984,0.231871
4,0.259322,0.208950,0.216850,0.232162
5,0.272162,0.209770,0.219933,0.232062
6,0.258760,0.209854,0.220830,0.232439
7,0.259592,0.210755,0.245136,0.231869
8,0.257788,0.209868,0.220187,0.232932
9,0.260280,0.210693,0.216631,0.233953
10,0.257522,0.210394,0.216962,0.232807
11,0.256711,0.210792,0.215906,0.237512
12,0.258707,0.210026,0.216552,0.239625
13,0.257577,0.210674,0.239368,0.238144
14,0.258136,0.211049,0.253083,0.236793
15,0.259209,0.210980,0.236590,0.236538
16,0.259449,0.210126,0.227693,0.239368
17,0.257096,0.210742,0.222692,0.240366
18,0.259126,0.212863,0.221206,0.239435
19,0.259097,0.213161,0.217607,0.234996
20,0.257038,0.215220,0.221240,0.237878
21,0.258418,0.214392,0.254862,0.238388
22,0.255941,0.213538,0.247344,0.233836
23,0.257218,0.212783,0.260874,0.234303
24,0.256706,0.214211,0.240946,0.239911
25,0.257662,0.213607,0.231039,0.237061
26,0.256923,0.215285,0.221677,0.234925
27,0.256611,0.219175,0.216093,0.238859
28,0.257297,0.212697,0.245813,0.238197
29,0.258684,0.214986,0.242751,0.238596
30,0.258715,0.213280,0.248008,0.239179
31,0.258236,0.212375,0.242005,0.240858
32,0.258444,0.211256,0.242885,0.239192
33,0.258197,0.214134,0.226869,0.236870
34,0.257893,0.211831,0.220838,0.239278
35,0.259378,0.213065,0.221955,0.239262
36,0.259534,0.214894,0.218801,0.238568
37,0.258505,0.213087,0.221251,0.238343
38,0.259625,0.218684,0.250905,0.240042
39,0.257730,0.214295,0.244128,0.237988
40,0.257052,0.213633,0.223097,0.238459
41,0.258236,0.214417,0.215705,0.238197
42,0.259010,0.213118,0.216527,0.236944
43,0.259415,0.213600,0.216583,0.237693
44,0.258736,0.213068,0.262396,0.238754
45,0.259160,0.218446,0.242377,0.238120
46,0.258760,0.222679,0.249087,0.238208
47,0.260779,0.254965,0.238940,0.234600
48,0.258158,0.246363,0.234836,0.235430
49,0.260562,0.221683,0.221158,0.236116
50,0.255879,0.219754,0.219080,0.233848
