i, latency, apporach, elevate
0, 0.139196, independent, unelevated
0, 0.163369, server, unelevated
0, 0.215052, old_server, unelevated
0, 0.221886, old_server, elevated
1, 0.138963, independent, unelevated
1, 0.161655, server, unelevated
1, 0.220305, old_server, unelevated
1, 0.215174, old_server, elevated
2, 0.139466, independent, unelevated
2, 0.163821, server, unelevated
2, 0.219201, old_server, unelevated
2, 0.221268, old_server, elevated
3, 0.139684, independent, unelevated
3, 0.169924, server, unelevated
3, 0.226245, old_server, unelevated
3, 0.201518, old_server, elevated
4, 0.138483, independent, unelevated
4, 0.165262, server, unelevated
4, 0.218899, old_server, unelevated
4, 0.211293, old_server, elevated
5, 0.138128, independent, unelevated
5, 0.168446, server, unelevated
5, 0.217920, old_server, unelevated
5, 0.196341, old_server, elevated
6, 0.141459, independent, unelevated
6, 0.162429, server, unelevated
6, 0.219667, old_server, unelevated
6, 0.211171, old_server, elevated
7, 0.138740, independent, unelevated
7, 0.160672, server, unelevated
7, 0.204711, old_server, unelevated
7, 0.204031, old_server, elevated
8, 0.138507, independent, unelevated
8, 0.169959, server, unelevated
8, 0.163295, old_server, unelevated
8, 0.199870, old_server, elevated
9, 0.138359, independent, unelevated
9, 0.162657, server, unelevated
9, 0.161081, old_server, unelevated
9, 0.200623, old_server, elevated
