Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.048945,0.043532,0.050950,0.048033
2,0.047382,0.043581,0.051494,0.047893
3,0.047192,0.043184,0.051362,0.047769
4,0.047141,0.043434,0.050710,0.048022
5,0.047052,0.043638,0.051182,0.047292
6,0.047720,0.043655,0.051419,0.047556
7,0.048333,0.043115,0.050389,0.047281
8,0.048723,0.044005,0.051337,0.047306
9,0.047649,0.044681,0.051043,0.047423
10,0.047937,0.043267,0.050274,0.047668
11,0.047037,0.044147,0.051349,0.047082
12,0.047976,0.043335,0.050777,0.047030
13,0.047716,0.043628,0.050922,0.047869
14,0.046926,0.043704,0.051274,0.046824
15,0.048174,0.043759,0.050500,0.047366
16,0.047491,0.044056,0.051070,0.047494
17,0.048486,0.043428,0.051653,0.047450
18,0.048555,0.044287,0.050989,0.047060
19,0.046979,0.043288,0.051274,0.047634
20,0.047130,0.043644,0.051433,0.047722
21,0.048119,0.043315,0.050172,0.047745
22,0.047072,0.043169,0.050320,0.047750
23,0.046826,0.044162,0.051493,0.047926
24,0.048538,0.044169,0.050570,0.047543
25,0.048109,0.043997,0.051112,0.047376
26,0.046856,0.043893,0.051075,0.047501
27,0.047822,0.043245,0.050871,0.047916
28,0.047012,0.044074,0.051307,0.047746
29,0.048824,0.043265,0.050965,0.048663
30,0.047176,0.043398,0.050559,0.047122
31,0.047513,0.043280,0.050566,0.047435
32,0.048328,0.043247,0.050157,0.047211
33,0.047480,0.043300,0.051010,0.046554
34,0.046692,0.043871,0.051297,0.047300
35,0.047550,0.043254,0.050233,0.047167
36,0.047117,0.043862,0.051337,0.047152
37,0.047041,0.043775,0.051271,0.047349
38,0.046998,0.043037,0.051319,0.047512
39,0.049039,0.044816,0.050955,0.046995
40,0.049192,0.043748,0.051401,0.047095
41,0.047512,0.043589,0.051016,0.046654
42,0.047112,0.044511,0.051010,0.047783
43,0.047786,0.043081,0.051198,0.046708
44,0.048934,0.043878,0.050699,0.047133
45,0.046901,0.043215,0.050496,0.047015
46,0.047463,0.043836,0.050523,0.047546
47,0.047083,0.043588,0.050494,0.046773
48,0.047051,0.043312,0.051349,0.047343
49,0.048638,0.043532,0.050296,0.047191
50,0.046784,0.044602,0.049727,0.047233
