Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.003588,0.008734,0.002639,0.002468
2,0.003215,0.005970,0.002626,0.002409
3,0.002654,0.006016,0.002624,0.002435
4,0.006160,0.007753,0.002569,0.002400
5,0.009362,0.007725,0.002558,0.002426
6,0.009234,0.005580,0.002608,0.002390
7,0.009421,0.007307,0.002564,0.002446
8,0.009684,0.006998,0.002575,0.002429
9,0.009867,0.007157,0.002536,0.002419
10,0.009397,0.007018,0.002635,0.002444
11,0.009536,0.007161,0.002535,0.002428
12,0.010125,0.007020,0.002598,0.002420
13,0.009711,0.007127,0.002547,0.002431
14,0.009210,0.007042,0.002598,0.002413
15,0.009630,0.007158,0.002550,0.002446
16,0.009742,0.007011,0.002557,0.002410
17,0.009389,0.006408,0.002567,0.002436
18,0.009230,0.005142,0.002635,0.002444
19,0.009725,0.006460,0.002549,0.002425
20,0.009868,0.007972,0.002561,0.002429
21,0.009270,0.005945,0.002578,0.002427
22,0.009412,0.005950,0.002629,0.002445
23,0.009677,0.005960,0.002631,0.002515
24,0.009622,0.005937,0.002552,0.002415
25,0.009279,0.007894,0.002631,0.002398
26,0.009525,0.006721,0.002574,0.002481
27,0.009564,0.004282,0.002632,0.002433
28,0.009458,0.005160,0.002578,0.002399
29,0.009256,0.008573,0.002533,0.002408
30,0.009433,0.005988,0.002511,0.002436
31,0.009606,0.005920,0.002516,0.002438
32,0.009567,0.007842,0.002536,0.002512
33,0.009180,0.007845,0.002601,0.002389
34,0.009471,0.005480,0.002564,0.002579
35,0.009682,0.005518,0.002595,0.002436
36,0.009468,0.007086,0.002545,0.002382
37,0.009252,0.007101,0.002615,0.002398
38,0.009415,0.007181,0.002525,0.002432
39,0.009674,0.006990,0.002593,0.002433
40,0.009778,0.007118,0.002552,0.002457
41,0.009974,0.007070,0.002574,0.002428
42,0.009535,0.007234,0.002576,0.002450
43,0.009473,0.006991,0.002624,0.002502
44,0.009263,0.007140,0.002576,0.002463
45,0.009238,0.007024,0.002544,0.002589
46,0.009592,0.007100,0.002510,0.002582
47,0.009486,0.007031,0.002632,0.002870
48,0.009778,0.007121,0.002585,0.002651
49,0.009582,0.007007,0.002551,0.002463
50,0.009535,0.007942,0.002512,0.002399
51,0.006778,0.014626,0.005287,0.004862
52,0.009766,0.007244,0.005106,0.004779
53,0.006919,0.005425,0.005086,0.004906
54,0.015003,0.006844,0.005084,0.004816
55,0.018835,0.009099,0.005107,0.004829
56,0.018220,0.010898,0.005084,0.004732
57,0.005323,0.008468,0.005079,0.004817
58,0.007433,0.010177,0.005064,0.004815
59,0.016737,0.012600,0.005032,0.004771
60,0.018425,0.009509,0.005048,0.004799
61,0.018257,0.009708,0.005028,0.004896
62,0.012792,0.009574,0.005145,0.004782
63,0.016560,0.011802,0.005045,0.004763
64,0.018279,0.009124,0.005085,0.004775
65,0.018789,0.009253,0.005053,0.004772
66,0.012768,0.008956,0.005097,0.004849
67,0.016597,0.008991,0.005126,0.004851
68,0.018734,0.011123,0.005051,0.004759
69,0.012590,0.010812,0.005062,0.004940
70,0.016867,0.008578,0.005039,0.004837
71,0.018386,0.008481,0.005067,0.004838
72,0.018323,0.010212,0.005037,0.004874
73,0.013069,0.012349,0.005129,0.004825
74,0.016520,0.009570,0.005152,0.004746
75,0.018255,0.009648,0.005236,0.004773
76,0.018721,0.009557,0.005033,0.004793
77,0.012649,0.011784,0.005101,0.004799
78,0.016870,0.009075,0.005094,0.004734
79,0.018440,0.009199,0.005102,0.004906
