Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.00233563,0.0022267700000000003,0.00252808,0.00239955
2,0.00257708,0.00235578,0.00255474,0.00240496
3,0.0026059399999999997,0.0023465,0.0027179500000000002,0.0024416299999999998
4,0.0025764399999999997,0.00236046,0.0027216000000000002,0.0024018999999999998
5,0.00260421,0.00234111,0.0027433600000000002,0.00242178
6,0.00262428,0.00234806,0.00272285,0.00249883
7,0.002322,0.00237649,0.00271852,0.0025356299999999997
8,0.00261212,0.0022539400000000003,0.00278972,0.00232539
9,0.00258955,0.00235063,0.00271092,0.00235749
10,0.00264183,0.0023619599999999998,0.00274291,0.00240716
11,0.00262705,0.002401,0.0027675699999999996,0.00239625
12,0.0026230199999999998,0.00234624,0.0027531099999999996,0.00242495
13,0.0026034400000000003,0.00235221,0.0027588499999999998,0.00240311
14,0.0026045200000000004,0.00236899,0.00280247,0.00238453
15,0.00261445,0.00236325,0.00273887,0.00241779
16,0.00262503,0.00234938,0.00277472,0.00241219
17,0.0025833099999999997,0.00236263,0.0027471099999999997,0.00240899
18,0.00262964,0.00223285,0.0027700999999999997,0.00253813
19,0.00258637,0.00234541,0.00276553,0.00240937
20,0.00251919,0.0023577999999999997,0.00280013,0.00241318
21,0.0025961400000000003,0.0023846500000000003,0.00278312,0.00240048
22,0.0025876700000000002,0.00234669,0.00278961,0.00240903
23,0.0026562200000000004,0.00235437,0.0027421200000000002,0.0025553900000000003
24,0.0026006099999999997,0.0023508699999999997,0.00277315,0.0024029
25,0.00261062,0.00236074,0.0027678599999999996,0.00242079
26,0.0026027299999999997,0.00239176,0.0027571600000000003,0.0024199300000000003
27,0.0025909500000000003,0.00233438,0.0027461,0.00239618
28,0.00258188,0.002184,0.0027469900000000004,0.00256317
29,0.00260056,0.00233936,0.0027706,0.0024154700000000003
30,0.0023918,0.0023360900000000003,0.0027719500000000005,0.00240629
31,0.00260407,0.00242316,0.00273061,0.0024286299999999998
32,0.00259561,0.00237842,0.00275303,0.00242722
33,0.00264677,0.00238759,0.0027892499999999996,0.00251211
34,0.00258807,0.00235593,0.00278158,0.00239939
35,0.00258975,0.00235617,0.0027584700000000003,0.00241377
36,0.00263595,0.00236846,0.0027752799999999998,0.0024088399999999998
37,0.00259822,0.00234476,0.00273623,0.00242741
38,0.0025963,0.00227899,0.0027808699999999995,0.00252437
39,0.00261812,0.00237151,0.00273936,0.00240765
40,0.0026271,0.00236763,0.0028236,0.0023674200000000003
41,0.00264964,0.00240391,0.0027356900000000003,0.00243071
42,0.00262682,0.0023494699999999998,0.00278037,0.00241673
43,0.00229509,0.00236118,0.00276949,0.00248995
44,0.00260086,0.00235284,0.00276142,0.0024123
45,0.0026542700000000002,0.00234133,0.0028161,0.00245272
46,0.0026781899999999996,0.0023638400000000003,0.0027573700000000003,0.00254066
47,0.00262127,0.0023715,0.00278121,0.0024546299999999997
48,0.00258679,0.00237299,0.00277609,0.00252838
49,0.0026516,0.00234814,0.0027757199999999998,0.00239028
