Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.004684499999999999,0.00419678,0.005052640000000001,0.00470994
2,0.0049996,0.00418948,0.00505066,0.00472598
3,0.0050185,0.0041814600000000006,0.0050408,0.00471698
4,0.00495144,0.00417144,0.00538352,0.00472032
5,0.00499376,0.0041478,0.005452080000000001,0.00472304
6,0.00495156,0.00422752,0.00539066,0.00477736
7,0.00496452,0.00415182,0.00536546,0.00476574
8,0.00473428,0.00419638,0.0054754,0.00466854
9,0.00469002,0.00416534,0.005318819999999999,0.0047295
10,0.00496828,0.0041848,0.00529832,0.0047271200000000005
11,0.00503472,0.00421398,0.005083259999999999,0.00471202
12,0.00515386,0.00417764,0.00542476,0.0047175
13,0.00494164,0.00424726,0.00504264,0.0046515
14,0.00495106,0.00422454,0.005089,0.00470422
15,0.00497086,0.00437564,0.005152060000000001,0.0046265
16,0.00500712,0.00423094,0.00540894,0.00471714
17,0.004946320000000001,0.00418968,0.005130320000000001,0.0047106
18,0.0049980599999999995,0.0042393199999999995,0.00509018,0.00476262
19,0.00502704,0.00427574,0.0054499200000000005,0.00462482
20,0.00493178,0.00424084,0.00550868,0.00469588
21,0.00502134,0.0042377,0.0055511,0.00470176
22,0.0049371599999999995,0.00418846,0.0055742199999999995,0.00473002
23,0.0049606,0.004160420000000001,0.00550084,0.00462572
24,0.0049832999999999995,0.0041736,0.00555844,0.00472812
25,0.004965359999999999,0.00422334,0.00549044,0.0046701799999999995
26,0.004987559999999999,0.0042137599999999996,0.00550806,0.00468286
27,0.00494878,0.00414348,0.0054722,0.00467432
28,0.00500278,0.00416594,0.0055128,0.0047121
29,0.00502484,0.00420152,0.0054784,0.004700579999999999
30,0.0048944999999999995,0.00415626,0.0054705199999999995,0.00469728
31,0.00494584,0.00419584,0.00541976,0.00471594
32,0.005190139999999999,0.00423074,0.005242019999999999,0.004746719999999999
33,0.00497314,0.00415998,0.00497086,0.00471672
34,0.00493486,0.00417226,0.00495422,0.00474016
35,0.00478388,0.00414218,0.0049974400000000006,0.00480926
36,0.005009700000000001,0.00416838,0.0051231,0.004805380000000001
37,0.00493208,0.00415696,0.005011219999999999,0.00482282
38,0.00497398,0.00418192,0.00510822,0.00484364
39,0.005019900000000001,0.00420706,0.00553692,0.004725
40,0.00497454,0.00414626,0.0055629600000000005,0.0048342
41,0.00498018,0.00417738,0.005023499999999999,0.0048002800000000005
42,0.00495656,0.0041808,0.00554722,0.00480206
43,0.0049964,0.0041589999999999995,0.00561452,0.00484956
44,0.00492596,0.0041885,0.00561788,0.00476606
45,0.00459944,0.0042222,0.005548880000000001,0.00484668
46,0.0049396200000000005,0.0041810599999999995,0.00557674,0.00480236
47,0.00495334,0.00416448,0.0055216399999999995,0.004678959999999999
48,0.00501326,0.00418696,0.00496094,0.00477644
49,0.00499642,0.00417018,0.004971,0.00463622
50,0.00496268,0.00414648,0.00485546,0.00475508
