Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.008301300000000001,0.00769228,0.0094351,0.00874062
2,0.00850646,0.0076881399999999996,0.00912846,0.00878118
3,0.008480060000000001,0.007679620000000001,0.0092177,0.00874836
4,0.0084694,0.007622759999999999,0.00921952,0.00875956
5,0.00820834,0.00765322,0.00919258,0.0086666
6,0.00846712,0.0076577799999999994,0.00923674,0.00856266
7,0.0084453,0.00768394,0.0092215,0.008587280000000001
8,0.00845778,0.0076152,0.0091666,0.00865474
9,0.00845484,0.0076010999999999995,0.0091957,0.00859554
10,0.00867982,0.0076081,0.0091983,0.008730139999999999
11,0.00853624,0.0076192000000000005,0.009079,0.0087543
12,0.008431,0.00762244,0.009287499999999999,0.00876638
13,0.008534080000000001,0.0076136599999999995,0.0091249,0.00872872
14,0.0084011,0.0076421,0.00918428,0.00876012
15,0.00848812,0.0076437399999999996,0.009082980000000001,0.00872526
16,0.00852538,0.00760602,0.0091733,0.00862924
17,0.00846098,0.00759402,0.00928496,0.00874668
18,0.00851078,0.00762202,0.00924662,0.00873718
19,0.00849432,0.00762028,0.00925596,0.00876798
20,0.0084885,0.0076044,0.00917482,0.00873606
21,0.008522499999999999,0.00762458,0.0093427,0.00876256
22,0.00819832,0.00763142,0.0092844,0.00877506
23,0.00853912,0.00762698,0.00928844,0.00874574
24,0.00847396,0.00763324,0.00931378,0.008695399999999999
25,0.00849658,0.007713719999999999,0.00928138,0.0085872
26,0.00846834,0.007616500000000001,0.00914422,0.00869226
27,0.00856848,0.007627500000000001,0.00914136,0.00856954
28,0.00843942,0.007660320000000001,0.00916834,0.00875984
29,0.0084521,0.007615739999999999,0.009344120000000001,0.00875646
30,0.0085073,0.0076065,0.00926944,0.00877642
31,0.00844528,0.0076324,0.0093831,0.00864162
32,0.008553100000000001,0.007610980000000001,0.00923584,0.008925579999999999
33,0.008424599999999999,0.00761542,0.00926496,0.0086353
34,0.0083837,0.007623799999999999,0.0093211,0.00876032
35,0.008541140000000001,0.0076464,0.00933772,0.00865846
36,0.00849592,0.007672600000000001,0.00924146,0.00868266
37,0.00853326,0.00766702,0.00922734,0.0085703
38,0.008388959999999999,0.0076266,0.00929476,0.00876792
39,0.00834848,0.00761492,0.009218800000000001,0.00868012
40,0.00839778,0.007658979999999999,0.00925212,0.008719339999999999
41,0.00845518,0.007689359999999999,0.009197760000000001,0.00878394
42,0.00845214,0.007660139999999999,0.00932118,0.008727780000000001
43,0.00844228,0.007682919999999999,0.00926308,0.00870276
44,0.00853672,0.007629019999999999,0.00914036,0.008699759999999999
45,0.008438059999999999,0.00761926,0.00907342,0.008757599999999999
46,0.00845254,0.0077645,0.00920712,0.00874734
47,0.00844114,0.007652139999999999,0.0093236,0.0087475
48,0.0084572,0.007655680000000001,0.00925882,0.00871788
49,0.00847382,0.007651440000000001,0.00918858,0.0088197
50,0.00844966,0.00761228,0.00920312,0.0087384
