run,iterations,type,latency
0,100000,Independent Client,0.019081
0,100000,Independent Client (elevated),0.033634
0,100000,Client + Server,0.035899
0,100000,Client + Server (elevated),0.027709
1,100000,Independent Client,0.040209
1,100000,Independent Client (elevated),0.032486
1,100000,Client + Server,0.033727
1,100000,Client + Server (elevated),0.028155
2,100000,Independent Client,0.040082
2,100000,Independent Client (elevated),0.033169
2,100000,Client + Server,0.035558
2,100000,Client + Server (elevated),0.028191
3,100000,Independent Client,0.039696
3,100000,Independent Client (elevated),0.032869
3,100000,Client + Server,0.035012
3,100000,Client + Server (elevated),0.028105
4,100000,Independent Client,0.040489
4,100000,Independent Client (elevated),0.031731
4,100000,Client + Server,0.036243
4,100000,Client + Server (elevated),0.027448
5,100000,Independent Client,0.044264
5,100000,Independent Client (elevated),0.031811
5,100000,Client + Server,0.034637
5,100000,Client + Server (elevated),0.025430
6,100000,Independent Client,0.040662
6,100000,Independent Client (elevated),0.033388
6,100000,Client + Server,0.035773
6,100000,Client + Server (elevated),0.027514
7,100000,Independent Client,0.041659
7,100000,Independent Client (elevated),0.029878
7,100000,Client + Server,0.035878
7,100000,Client + Server (elevated),0.027378
8,100000,Independent Client,0.041282
8,100000,Independent Client (elevated),0.032812
8,100000,Client + Server,0.035944
8,100000,Client + Server (elevated),0.028212
9,100000,Independent Client,0.038302
9,100000,Independent Client (elevated),0.024377
9,100000,Client + Server,0.035449
9,100000,Client + Server (elevated),0.027546
0,200000,Independent Client,0.060478
0,200000,Independent Client (elevated),0.044214
0,200000,Client + Server,0.071927
0,200000,Client + Server (elevated),0.055279
1,200000,Independent Client,0.061002
1,200000,Independent Client (elevated),0.037346
1,200000,Client + Server,0.069598
1,200000,Client + Server (elevated),0.052642
2,200000,Independent Client,0.060244
2,200000,Independent Client (elevated),0.045952
2,200000,Client + Server,0.070029
2,200000,Client + Server (elevated),0.054727
3,200000,Independent Client,0.060031
3,200000,Independent Client (elevated),0.044745
3,200000,Client + Server,0.073262
3,200000,Client + Server (elevated),0.053596
4,200000,Independent Client,0.060391
4,200000,Independent Client (elevated),0.045319
4,200000,Client + Server,0.072136
4,200000,Client + Server (elevated),0.054596
5,200000,Independent Client,0.061088
5,200000,Independent Client (elevated),0.045917
5,200000,Client + Server,0.072388
5,200000,Client + Server (elevated),0.055897
6,200000,Independent Client,0.058970
6,200000,Independent Client (elevated),0.047022
6,200000,Client + Server,0.073127
6,200000,Client + Server (elevated),0.054931
7,200000,Independent Client,0.074123
7,200000,Independent Client (elevated),0.047818
7,200000,Client + Server,0.072325
7,200000,Client + Server (elevated),0.051084
8,200000,Independent Client,0.059520
8,200000,Independent Client (elevated),0.047659
8,200000,Client + Server,0.072168
8,200000,Client + Server (elevated),0.051317
9,200000,Independent Client,0.060649
9,200000,Independent Client (elevated),0.045172
9,200000,Client + Server,0.072285
