run,iterations,type,latency
0,100000,Independent Client (elevated),0.022053
0,100000,Client + Server (elevated),0.033896
0,100000,Independent Client,0.018004
0,100000,Client + Server,0.034506
1,100000,Independent Client (elevated),0.024254
1,100000,Client + Server (elevated),0.031542
1,100000,Independent Client,0.035699
1,100000,Client + Server,0.035215
2,100000,Independent Client (elevated),0.024431
2,100000,Client + Server (elevated),0.034351
2,100000,Independent Client,0.049328
2,100000,Client + Server,0.032715
3,100000,Independent Client (elevated),0.025207
3,100000,Client + Server (elevated),0.032204
3,100000,Independent Client,0.037445
3,100000,Client + Server,0.034488
4,100000,Independent Client (elevated),0.024858
4,100000,Client + Server (elevated),0.033661
4,100000,Independent Client,0.043254
4,100000,Client + Server,0.034477
5,100000,Independent Client (elevated),0.024956
5,100000,Client + Server (elevated),0.033568
5,100000,Independent Client,0.051208
5,100000,Client + Server,0.035440
0,200000,Independent Client (elevated),0.037949
0,200000,Client + Server (elevated),0.058530
0,200000,Independent Client,0.071158
0,200000,Client + Server,0.070755
1,200000,Independent Client (elevated),0.037538
1,200000,Client + Server (elevated),0.060389
1,200000,Independent Client,0.067904
1,200000,Client + Server,0.065924
2,200000,Independent Client (elevated),0.033182
2,200000,Client + Server (elevated),0.061243
2,200000,Independent Client,0.069950
2,200000,Client + Server,0.070079
3,200000,Independent Client (elevated),0.037043
3,200000,Client + Server (elevated),0.060500
3,200000,Independent Client,0.068114
3,200000,Client + Server,0.069832
4,200000,Independent Client (elevated),0.033419
4,200000,Client + Server (elevated),0.063088
4,200000,Independent Client,0.070113
4,200000,Client + Server,0.071416
5,200000,Independent Client (elevated),0.037792
5,200000,Client + Server (elevated),0.062898
5,200000,Independent Client,0.069369
5,200000,Client + Server,0.069740
0,300000,Independent Client (elevated),0.052162
0,300000,Client + Server (elevated),0.092261
0,300000,Independent Client,0.088507
0,300000,Client + Server,0.099342
1,300000,Independent Client (elevated),0.051386
1,300000,Client + Server (elevated),0.092846
1,300000,Independent Client,0.088153
1,300000,Client + Server,0.104358
2,300000,Independent Client (elevated),0.047960
2,300000,Client + Server (elevated),0.092035
2,300000,Independent Client,0.085350
2,300000,Client + Server,0.104382
3,300000,Independent Client (elevated),0.051488
3,300000,Client + Server (elevated),0.090399
3,300000,Independent Client,0.086992
3,300000,Client + Server,0.105418
4,300000,Independent Client (elevated),0.047702
4,300000,Client + Server (elevated),0.087187
4,300000,Independent Client,0.087065
4,300000,Client + Server,0.105143
5,300000,Independent Client (elevated),0.050390
5,300000,Client + Server (elevated),0.092033
5,300000,Independent Client,0.086208
5,300000,Client + Server,0.105322
0,400000,Independent Client (elevated),0.063097
0,400000,Client + Server (elevated),0.120714
0,400000,Independent Client,0.107026
0,400000,Client + Server,0.141306
1,400000,Independent Client (elevated),0.062868
1,400000,Client + Server (elevated),0.122178
1,400000,Independent Client,0.103712
1,400000,Client + Server,0.140798
2,400000,Independent Client (elevated),0.063210
2,400000,Client + Server (elevated),0.112955
2,400000,Independent Client,0.101903
2,400000,Client + Server,0.132444
3,400000,Independent Client (elevated),0.063343
3,400000,Client + Server (elevated),0.126097
3,400000,Independent Client,0.106554
3,400000,Client + Server,0.140488
4,400000,Independent Client (elevated),0.059038
4,400000,Client + Server (elevated),0.116661
4,400000,Independent Client,0.104636
4,400000,Client + Server,0.140143
5,400000,Independent Client (elevated),0.060667
5,400000,Client + Server (elevated),0.117211
5,400000,Independent Client,0.104104
5,400000,Client + Server,0.138292
0,500000,Independent Client (elevated),0.075568
0,500000,Client + Server (elevated),0.150242
0,500000,Independent Client,0.121618
0,500000,Client + Server,0.164784
1,500000,Independent Client (elevated),0.080300
1,500000,Client + Server (elevated),0.154449
1,500000,Independent Client,0.120456
1,500000,Client + Server,0.175307
2,500000,Independent Client (elevated),0.081973
2,500000,Client + Server (elevated),0.181077
2,500000,Independent Client,0.107781
2,500000,Client + Server,0.200681
3,500000,Independent Client (elevated),0.076992
3,500000,Client + Server (elevated),0.154073
3,500000,Independent Client,0.113101
3,500000,Client + Server,0.186263
4,500000,Independent Client (elevated),0.077422
4,500000,Client + Server (elevated),0.146084
4,500000,Independent Client,0.109141
4,500000,Client + Server,0.166819
5,500000,Independent Client (elevated),0.076813
5,500000,Client + Server (elevated),0.147265
5,500000,Independent Client,0.126511
5,500000,Client + Server,0.197667
0,600000,Independent Client (elevated),0.089933
0,600000,Client + Server (elevated),0.173715
0,600000,Independent Client,0.139324
0,600000,Client + Server,0.208815
1,600000,Independent Client (elevated),0.093969
1,600000,Client + Server (elevated),0.179791
1,600000,Independent Client,0.137365
1,600000,Client + Server,0.235952
2,600000,Independent Client (elevated),0.091689
2,600000,Client + Server (elevated),0.181948
2,600000,Independent Client,0.119248
2,600000,Client + Server,0.227839
3,600000,Independent Client (elevated),0.093157
3,600000,Client + Server (elevated),0.181249
3,600000,Independent Client,0.133017
3,600000,Client + Server,0.233754
4,600000,Independent Client (elevated),0.088122
4,600000,Client + Server (elevated),0.181742
4,600000,Independent Client,0.113066
4,600000,Client + Server,0.229579
5,600000,Independent Client (elevated),0.088302
5,600000,Client + Server (elevated),0.181359
5,600000,Independent Client,0.139017
5,600000,Client + Server,0.215516
0,700000,Independent Client (elevated),0.098865
0,700000,Client + Server (elevated),0.229533
0,700000,Independent Client,0.147739
0,700000,Client + Server,0.250283
1,700000,Independent Client (elevated),0.101880
1,700000,Client + Server (elevated),0.208461
1,700000,Independent Client,0.155310
1,700000,Client + Server,0.302903
2,700000,Independent Client (elevated),0.104413
2,700000,Client + Server (elevated),0.207377
2,700000,Independent Client,0.134800
2,700000,Client + Server,0.254655
3,700000,Independent Client (elevated),0.100519
3,700000,Client + Server (elevated),0.235700
3,700000,Independent Client,0.129983
3,700000,Client + Server,0.301159
4,700000,Independent Client (elevated),0.107520
4,700000,Client + Server (elevated),0.210899
4,700000,Independent Client,0.156539
4,700000,Client + Server,0.273324
5,700000,Independent Client (elevated),0.099655
5,700000,Client + Server (elevated),0.200469
5,700000,Independent Client,0.160820
5,700000,Client + Server,0.249937
0,800000,Independent Client (elevated),0.113729
0,800000,Client + Server (elevated),0.242219
0,800000,Independent Client,0.171169
0,800000,Client + Server,0.279977
1,800000,Independent Client (elevated),0.114188
1,800000,Client + Server (elevated),0.241657
1,800000,Independent Client,0.175051
1,800000,Client + Server,0.279470
2,800000,Independent Client (elevated),0.113106
2,800000,Client + Server (elevated),0.238628
2,800000,Independent Client,0.170846
2,800000,Client + Server,0.288298
3,800000,Independent Client (elevated),0.114127
3,800000,Client + Server (elevated),0.236446
3,800000,Independent Client,0.175866
3,800000,Client + Server,0.278685
4,800000,Independent Client (elevated),0.113776
4,800000,Client + Server (elevated),0.230157
4,800000,Independent Client,0.172120
4,800000,Client + Server,0.280603
5,800000,Independent Client (elevated),0.113405
5,800000,Client + Server (elevated),0.228973
5,800000,Independent Client,0.171193
5,800000,Client + Server,0.284491
0,900000,Independent Client (elevated),0.123775
0,900000,Client + Server (elevated),0.265261
0,900000,Independent Client,0.187873
0,900000,Client + Server,0.318196
1,900000,Independent Client (elevated),0.126741
1,900000,Client + Server (elevated),0.258354
1,900000,Independent Client,0.169890
1,900000,Client + Server,0.306790
2,900000,Independent Client (elevated),0.127898
2,900000,Client + Server (elevated),0.263560
2,900000,Independent Client,0.191775
2,900000,Client + Server,0.313878
3,900000,Independent Client (elevated),0.127391
3,900000,Client + Server (elevated),0.272774
3,900000,Independent Client,0.189819
3,900000,Client + Server,0.308630
4,900000,Independent Client (elevated),0.127253
4,900000,Client + Server (elevated),0.270473
4,900000,Independent Client,0.189796
4,900000,Client + Server,0.333786
5,900000,Independent Client (elevated),0.126454
5,900000,Client + Server (elevated),0.274000
5,900000,Independent Client,0.188404
5,900000,Client + Server,0.355469
0,1000000,Independent Client (elevated),0.140524
0,1000000,Client + Server (elevated),0.298992
0,1000000,Independent Client,0.180625
0,1000000,Client + Server,0.360786
