run,iterations,type,latency
0,100000,Independent Client,0.019475
0,100000,Independent Client (elevated),0.025851
0,100000,Client + Server,0.036432
0,100000,Client + Server (elevated),0.024726
1,100000,Independent Client,0.051701
1,100000,Independent Client (elevated),0.028405
1,100000,Client + Server,0.036308
1,100000,Client + Server (elevated),0.024719
2,100000,Independent Client,0.052986
2,100000,Independent Client (elevated),0.028880
2,100000,Client + Server,0.036714
2,100000,Client + Server (elevated),0.024110
3,100000,Independent Client,0.053368
3,100000,Independent Client (elevated),0.028966
3,100000,Client + Server,0.036119
3,100000,Client + Server (elevated),0.024568
4,100000,Independent Client,0.050234
4,100000,Independent Client (elevated),0.026291
4,100000,Client + Server,0.036774
4,100000,Client + Server (elevated),0.024699
5,100000,Independent Client,0.051623
5,100000,Independent Client (elevated),0.024967
5,100000,Client + Server,0.036800
5,100000,Client + Server (elevated),0.024286
6,100000,Independent Client,0.050420
6,100000,Independent Client (elevated),0.025101
6,100000,Client + Server,0.035499
6,100000,Client + Server (elevated),0.024799
7,100000,Independent Client,0.050561
7,100000,Independent Client (elevated),0.024870
7,100000,Client + Server,0.035968
7,100000,Client + Server (elevated),0.024723
8,100000,Independent Client,0.050346
8,100000,Independent Client (elevated),0.024848
8,100000,Client + Server,0.036099
8,100000,Client + Server (elevated),0.025657
9,100000,Independent Client,0.053179
9,100000,Independent Client (elevated),0.028920
9,100000,Client + Server,0.036784
9,100000,Client + Server (elevated),0.023597
0,300000,Independent Client,0.090096
0,300000,Independent Client (elevated),0.045986
0,300000,Client + Server,0.103593
0,300000,Client + Server (elevated),0.073498
1,300000,Independent Client,0.090985
1,300000,Independent Client (elevated),0.049240
1,300000,Client + Server,0.109931
1,300000,Client + Server (elevated),0.070713
2,300000,Independent Client,0.092490
2,300000,Independent Client (elevated),0.046311
2,300000,Client + Server,0.105607
2,300000,Client + Server (elevated),0.067433
3,300000,Independent Client,0.090023
3,300000,Independent Client (elevated),0.045534
3,300000,Client + Server,0.107668
3,300000,Client + Server (elevated),0.074291
4,300000,Independent Client,0.090759
4,300000,Independent Client (elevated),0.046335
4,300000,Client + Server,0.108783
4,300000,Client + Server (elevated),0.073398
5,300000,Independent Client,0.091119
5,300000,Independent Client (elevated),0.049385
5,300000,Client + Server,0.109073
5,300000,Client + Server (elevated),0.075170
6,300000,Independent Client,0.089713
6,300000,Independent Client (elevated),0.046001
6,300000,Client + Server,0.104289
6,300000,Client + Server (elevated),0.068036
7,300000,Independent Client,0.091244
7,300000,Independent Client (elevated),0.046117
7,300000,Client + Server,0.108361
7,300000,Client + Server (elevated),0.073952
8,300000,Independent Client,0.090975
8,300000,Independent Client (elevated),0.046328
8,300000,Client + Server,0.107879
8,300000,Client + Server (elevated),0.074811
9,300000,Independent Client,0.090736
9,300000,Independent Client (elevated),0.049166
9,300000,Client + Server,0.109011
9,300000,Client + Server (elevated),0.070455
0,500000,Independent Client,0.128906
0,500000,Independent Client (elevated),0.056984
0,500000,Client + Server,0.183804
0,500000,Client + Server (elevated),0.122174
1,500000,Independent Client,0.131204
1,500000,Independent Client (elevated),0.057387
1,500000,Client + Server,0.183032
1,500000,Client + Server (elevated),0.122718
2,500000,Independent Client,0.130845
2,500000,Independent Client (elevated),0.061352
2,500000,Client + Server,0.181895
2,500000,Client + Server (elevated),0.122428
3,500000,Independent Client,0.129320
3,500000,Independent Client (elevated),0.057047
3,500000,Client + Server,0.172096
3,500000,Client + Server (elevated),0.122475
4,500000,Independent Client,0.127861
4,500000,Independent Client (elevated),0.057611
4,500000,Client + Server,0.179475
4,500000,Client + Server (elevated),0.113663
5,500000,Independent Client,0.128992
5,500000,Independent Client (elevated),0.060464
5,500000,Client + Server,0.172487
5,500000,Client + Server (elevated),0.124588
6,500000,Independent Client,0.130260
6,500000,Independent Client (elevated),0.060453
6,500000,Client + Server,0.170800
6,500000,Client + Server (elevated),0.123555
7,500000,Independent Client,0.129015
7,500000,Independent Client (elevated),0.060423
7,500000,Client + Server,0.182658
7,500000,Client + Server (elevated),0.117764
8,500000,Independent Client,0.128107
8,500000,Independent Client (elevated),0.057440
8,500000,Client + Server,0.182436
8,500000,Client + Server (elevated),0.123137
9,500000,Independent Client,0.130985
9,500000,Independent Client (elevated),0.061262
9,500000,Client + Server,0.178622
9,500000,Client + Server (elevated),0.120979
0,700000,Independent Client,0.168010
0,700000,Independent Client (elevated),0.077649
0,700000,Client + Server,0.255414
0,700000,Client + Server (elevated),0.174233
1,700000,Independent Client,0.169884
1,700000,Independent Client (elevated),0.078920
1,700000,Client + Server,0.246988
1,700000,Client + Server (elevated),0.171148
2,700000,Independent Client,0.168715
2,700000,Independent Client (elevated),0.074842
2,700000,Client + Server,0.238891
2,700000,Client + Server (elevated),0.171164
3,700000,Independent Client,0.174379
3,700000,Independent Client (elevated),0.078109
3,700000,Client + Server,0.253405
3,700000,Client + Server (elevated),0.173944
4,700000,Independent Client,0.169485
4,700000,Independent Client (elevated),0.074399
4,700000,Client + Server,0.252419
4,700000,Client + Server (elevated),0.174934
5,700000,Independent Client,0.166317
5,700000,Independent Client (elevated),0.078350
5,700000,Client + Server,0.253504
5,700000,Client + Server (elevated),0.158400
6,700000,Independent Client,0.167836
6,700000,Independent Client (elevated),0.078462
6,700000,Client + Server,0.258421
6,700000,Client + Server (elevated),0.164545
7,700000,Independent Client,0.167265
7,700000,Independent Client (elevated),0.078342
7,700000,Client + Server,0.248250
7,700000,Client + Server (elevated),0.165051
8,700000,Independent Client,0.168340
8,700000,Independent Client (elevated),0.074656
8,700000,Client + Server,0.254409
8,700000,Client + Server (elevated),0.164369
9,700000,Independent Client,0.169189
9,700000,Independent Client (elevated),0.079069
9,700000,Client + Server,0.253178
9,700000,Client + Server (elevated),0.164022
0,900000,Independent Client,0.208169
0,900000,Independent Client (elevated),0.095274
0,900000,Client + Server,0.327406
0,900000,Client + Server (elevated),0.215180
1,900000,Independent Client,0.207769
1,900000,Independent Client (elevated),0.096556
1,900000,Client + Server,0.330174
1,900000,Client + Server (elevated),0.221217
2,900000,Independent Client,0.206733
2,900000,Independent Client (elevated),0.095855
2,900000,Client + Server,0.324651
2,900000,Client + Server (elevated),0.203648
3,900000,Independent Client,0.205717
3,900000,Independent Client (elevated),0.095123
3,900000,Client + Server,0.331062
3,900000,Client + Server (elevated),0.224021
4,900000,Independent Client,0.207393
4,900000,Independent Client (elevated),0.095933
4,900000,Client + Server,0.326059
4,900000,Client + Server (elevated),0.222704
5,900000,Independent Client,0.210010
5,900000,Independent Client (elevated),0.095297
5,900000,Client + Server,0.327402
5,900000,Client + Server (elevated),0.222430
6,900000,Independent Client,0.207515
6,900000,Independent Client (elevated),0.096071
6,900000,Client + Server,0.323572
6,900000,Client + Server (elevated),0.221502
7,900000,Independent Client,0.207764
7,900000,Independent Client (elevated),0.096149
7,900000,Client + Server,0.327321
7,900000,Client + Server (elevated),0.222337
8,900000,Independent Client,0.207661
8,900000,Independent Client (elevated),0.096457
8,900000,Client + Server,0.327152
8,900000,Client + Server (elevated),0.221421
9,900000,Independent Client,0.211553
9,900000,Independent Client (elevated),0.091840
9,900000,Client + Server,0.327891
9,900000,Client + Server (elevated),0.220378
0,1100000,Independent Client,0.245446
0,1100000,Independent Client (elevated),0.113736
0,1100000,Client + Server,0.400069
0,1100000,Client + Server (elevated),0.268054
1,1100000,Independent Client,0.246358
1,1100000,Independent Client (elevated),0.110186
1,1100000,Client + Server,0.398780
1,1100000,Client + Server (elevated),0.270544
2,1100000,Independent Client,0.247417
2,1100000,Independent Client (elevated),0.112850
2,1100000,Client + Server,0.399778
2,1100000,Client + Server (elevated),0.273860
3,1100000,Independent Client,0.246107
3,1100000,Independent Client (elevated),0.113784
3,1100000,Client + Server,0.398107
3,1100000,Client + Server (elevated),0.263871
4,1100000,Independent Client,0.245930
4,1100000,Independent Client (elevated),0.111766
4,1100000,Client + Server,0.401102
4,1100000,Client + Server (elevated),0.258686
5,1100000,Independent Client,0.246941
5,1100000,Independent Client (elevated),0.108478
5,1100000,Client + Server,0.402065
5,1100000,Client + Server (elevated),0.258735
6,1100000,Independent Client,0.245629
6,1100000,Independent Client (elevated),0.108653
6,1100000,Client + Server,0.402233
6,1100000,Client + Server (elevated),0.270698
7,1100000,Independent Client,0.247484
7,1100000,Independent Client (elevated),0.107787
7,1100000,Client + Server,0.401893
7,1100000,Client + Server (elevated),0.271654
8,1100000,Independent Client,0.243965
8,1100000,Independent Client (elevated),0.113786
8,1100000,Client + Server,0.398667
8,1100000,Client + Server (elevated),0.271747
9,1100000,Independent Client,0.246869
9,1100000,Independent Client (elevated),0.111585
9,1100000,Client + Server,0.398553
9,1100000,Client + Server (elevated),0.274032
0,1300000,Independent Client,0.284880
0,1300000,Independent Client (elevated),0.127578
0,1300000,Client + Server,0.472217
0,1300000,Client + Server (elevated),0.318979
1,1300000,Independent Client,0.284097
1,1300000,Independent Client (elevated),0.128975
1,1300000,Client + Server,0.452388
1,1300000,Client + Server (elevated),0.321521
2,1300000,Independent Client,0.285633
2,1300000,Independent Client (elevated),0.127572
2,1300000,Client + Server,0.446934
2,1300000,Client + Server (elevated),0.311724
3,1300000,Independent Client,0.281899
3,1300000,Independent Client (elevated),0.128290
3,1300000,Client + Server,0.469066
3,1300000,Client + Server (elevated),0.314347
4,1300000,Independent Client,0.284653
4,1300000,Independent Client (elevated),0.128606
